,#,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
134,135,Syria,"34,460",,"2,257",,"23,884",,"8,319",,"1,911",125,"103,566","5,744","18,030,034"
135,136,Guyana,"32,055",,792,,"27,440",,"3,823",31,"40,510","1,001","319,070","403,227","791,292"
136,137,Gabon,"30,648",,190,,"26,947",,"3,511",25,"13,377",83,"1,214,352","530,021","2,291,138"
137,138,Guinea,"30,420",,379,,"28,877",,"1,164",24,"2,241",28,"557,583","41,071","13,576,146"
138,139,Tanzania,"25,846",,719,,N/A,N/A,N/A,7,418,12,,,"61,851,315"
139,140,Togo,"25,487",+58,230,+1,"23,225",+164,"2,032",,"2,991",27,"515,451","60,496","8,520,366"
140,141,Laos,"24,916",+606,21,+1,"5,568",,"19,327",,"3,364",3,"508,315","68,624","7,407,240"
141,142,Benin,"23,890",,159,,"21,993",,"1,738",5,"1,908",13,"604,310","48,273","12,518,471"
142,143,Haiti,"21,972",,615,,"19,602",,"1,755",,"1,898",53,"120,507","10,410","11,575,965"
143,144,Seychelles,"21,347",,115,,"20,903",,329,,"215,393","1,160","21,504","216,978","99,107"
144,145,Lesotho,"21,338",+18,634,+1,"11,510",+28,"9,194",,"9,863",293,"215,611","99,661","2,163,451"
145,146,Bahamas,"21,114",,533,,"18,533",,"2,048",15,"53,059","1,339","146,249","367,521","397,934"
146,147,Belize,"21,003",,418,,"18,325",,"2,260",10,"51,652","1,028","265,313","652,474","406,626"
147,148,Papua New Guinea,"20,455",,234,,"18,485",,"1,736",7,"2,234",26,"188,267","20,557","9,158,256"
148,149,Mayotte,"20,323",,180,,"2,964",,"17,179",,"72,321",641,"176,919","629,578","281,012"
149,150,Somalia,"19,980",,"1,111",,"9,523",,"9,346",,"1,215",68,"224,382","13,644","16,445,010"
150,151,Timor-Leste,"19,563",+28,118,+1,"18,695",+21,750,,"14,494",87,"169,501","125,580","1,349,742"
151,152,Burundi,"18,271",+292,38,,773,,"17,460",,"1,482",3,"345,742","28,038","12,331,344"
152,153,Tajikistan,"17,084",,124,,"16,960",,0,,"1,742",13,,,"9,804,480"
153,154,Curaçao,"16,556",,163,,"16,006",,387,4,"100,381",988,"280,031","1,697,868","164,931"
154,155,Taiwan,"16,234",,843,,"15,232",,159,,680,35,"6,378,793","267,223","23,870,635"
155,156,Mauritius,"15,695",,84,,"1,854",,"13,757",,"12,316",66,"358,675","281,445","1,274,405"
156,157,Aruba,"15,514",,166,,"15,121",,227,7,"144,542","1,547","177,885","1,657,334","107,332"
157,158,Mali,"15,255",,549,,"14,317",,389,,727,26,"420,763","20,059","20,976,574"
158,159,Andorra,"15,222",,130,,"15,004",,88,4,"196,618","1,679","193,595","2,500,614","77,419"
159,160,Nicaragua,"14,448",,204,,"4,225",,"10,019",,"2,149",30,,,"6,722,898"
160,161,Congo,"14,359",,197,,"12,421",,"1,741",,"2,525",35,"188,207","33,093","5,687,203"
161,162,Burkina Faso,"14,290",+28,187,+3,"13,904",+12,199,,661,9,"217,762","10,074","21,616,620"
162,163,Djibouti,"12,870",,167,,"12,162",,541,,"12,794",166,"222,311","221,003","1,005,920"
163,164,Equatorial Guinea,"12,362",,147,,"11,008",,"1,207",1,"8,465",101,"195,087","133,594","1,460,295"
164,165,Hong Kong,"12,227",+5,213,,"11,909",+3,105,,"1,615",28,"25,235,157","3,332,291","7,572,916"
165,166,South Sudan,"12,021",,130,,"11,617",,274,4,"1,058",11,"226,848","19,973","11,357,483"
